prior_tag,matrix_seed,run_seed,method_key,method_label,family,parameter,final_evaluations,final_budget_fraction,final_recommended_arm,final_regret,final_coverage,top1_correct,final_selected_n,final_selected_variance,final_score,paired_final_delta
dataset,1,0,posterior_mean,Current posterior mean,baseline,,10300,0.1,19,0.0,1,1.0,548.0,0.00044603033006244426,0.6690455079078674,0.0
dataset,1,0,empirical_mean,Observed sample mean,baseline,,10300,0.1,19,0.0,1,1.0,548.0,0.00044603033006244426,0.6751824817518248,0.0
dataset,1,0,variance_gate_0.5,Variance gate: v/v0 <= 0.5,variance_gate,0.5,10300,0.1,19,0.0,1,1.0,548.0,0.00044603033006244426,0.6690454950936664,0.0
dataset,1,0,variance_gate_0.2,Variance gate: v/v0 <= 0.2,variance_gate,0.2,10300,0.1,19,0.0,1,1.0,548.0,0.00044603033006244426,0.6690454950936664,0.0
dataset,1,0,variance_gate_0.1,Variance gate: v/v0 <= 0.1,variance_gate,0.1,10300,0.1,19,0.0,1,1.0,548.0,0.00044603033006244426,0.6690454950936664,0.0
dataset,1,0,variance_gate_0.05,Variance gate: v/v0 <= 0.05,variance_gate,0.05,10300,0.1,19,0.0,1,1.0,548.0,0.00044603033006244426,0.6690454950936664,0.0
dataset,1,0,mean_variance_1,Mean - 1 x variance,mean_variance,1.0,10300,0.1,19,0.0,1,1.0,548.0,0.00044603033006244426,0.668599464763604,0.0
dataset,1,0,mean_variance_5,Mean - 5 x variance,mean_variance,5.0,10300,0.1,20,0.0,1,1.0,1000.0,0.0002469135802469136,0.6674074074074074,0.0
dataset,1,0,mean_variance_10,Mean - 10 x variance,mean_variance,10.0,10300,0.1,20,0.0,1,1.0,1000.0,0.0002469135802469136,0.6661728395061729,0.0
dataset,1,0,mean_variance_20,Mean - 20 x variance,mean_variance,20.0,10300,0.1,20,0.0,1,1.0,1000.0,0.0002469135802469136,0.6637037037037037,0.0
dataset,1,0,gaussian_lcb_1,Gaussian lower bound: mean - 1 x SD,gaussian_lcb,1.0,10300,0.1,20,0.0,1,1.0,1000.0,0.0002469135802469136,0.6529284912822743,0.0
