scope,prior,budget_fraction,n_subjects,n_seed_blocks,posterior_mean,lcb_mean,posterior_p90,lcb_p90,posterior_ci95_low,posterior_ci95_high,lcb_ci95_low,lcb_ci95_high,paired_mean_delta,paired_ci95_low,paired_ci95_high,reduction_percent
alpaca_eval,default,0.01,1,20,3.4313959211779306,3.210144694941325,3.7471107709867986,3.7471107709867986,0.5209410260753355,7.726044343273291,0.5209410260753355,7.149114168909366,-0.22125122623660473,-0.6637536787098142,0.0,6.44784896056688
alpaca_eval,default,0.02,1,20,2.035058867820855,2.035058867820855,2.2331240602645113,2.2331240602645113,0.5209410260753355,4.542222394213305,0.5209410260753355,4.542222394213305,0.0,0.0,0.0,0.0
alpaca_eval,default,0.05,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
alpaca_eval,default,0.1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
alpaca_eval,dataset,0.01,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
alpaca_eval,dataset,0.02,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
alpaca_eval,dataset,0.05,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
alpaca_eval,dataset,0.1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
mmlu_abstract_algebra,default,0.01,1,20,8.399999999999995,8.399999999999995,27.099999999999998,27.099999999999998,5.099999999999994,12.399999999999995,5.099999999999994,12.399999999999995,0.0,0.0,0.0,0.0
mmlu_abstract_algebra,default,0.02,1,20,8.399999999999995,8.399999999999995,27.099999999999998,27.099999999999998,5.099999999999994,12.399999999999995,5.099999999999994,12.399999999999995,0.0,0.0,0.0,0.0
mmlu_abstract_algebra,default,0.05,1,20,3.8499999999999943,3.6999999999999935,5.999999999999995,5.999999999999995,2.9999999999999947,4.649999999999994,2.8499999999999948,4.549999999999994,-0.1500000000000001,-0.4500000000000003,0.0,3.8961038961039227
mmlu_abstract_algebra,default,0.1,1,20,2.899999999999994,2.7999999999999945,5.999999999999995,5.999999999999995,1.9499999999999962,3.8499999999999943,1.8499999999999974,3.7499999999999947,-0.10000000000000009,-0.44999999999999873,0.14999999999999847,3.4482758620689604
mmlu_abstract_algebra,dataset,0.01,1,20,4.249999999999993,4.249999999999993,5.999999999999995,5.999999999999995,3.4499999999999944,4.999999999999993,3.4499999999999944,4.999999999999993,0.0,0.0,0.0,0.0
mmlu_abstract_algebra,dataset,0.02,1,20,4.149999999999993,4.149999999999993,5.999999999999995,5.999999999999995,3.3499999999999943,4.899999999999993,3.3499999999999943,4.899999999999993,0.0,0.0,0.0,0.0
mmlu_abstract_algebra,dataset,0.05,1,20,3.599999999999993,3.599999999999993,5.999999999999995,5.999999999999995,2.799999999999993,4.399999999999993,2.799999999999993,4.399999999999993,0.0,0.0,0.0,0.0
mmlu_abstract_algebra,dataset,0.1,1,20,2.699999999999995,2.2999999999999945,5.999999999999995,5.099999999999994,1.7999999999999945,3.749999999999993,1.5999999999999952,3.0999999999999943,-0.40000000000000036,-1.1500000000000008,0.0,14.814814814814856
