scope,prior,metric,n_subjects,lcb_better_subjects,tied_subjects,lcb_worse_subjects,n_seed_blocks,posterior_mean,lcb_mean,posterior_p90,lcb_p90,posterior_ci95_low,posterior_ci95_high,lcb_ci95_low,lcb_ci95_high,paired_mean_delta,paired_ci95_low,paired_ci95_high,reduction_percent
alpaca_eval,default,total_downward_pp,1,1,0,0,20,11.16486863266837,5.624435841884476,24.254577933182162,20.63713721188131,6.618930616191703,16.470735065206625,2.5642055590625463,9.231744758196195,-5.540432790783894,-9.323600265814136,-2.2883806586340576,49.62380636143452
alpaca_eval,default,maximum_drawdown_pp,1,1,0,0,20,7.243979721966568,4.3463703294247535,21.842876927607634,19.168364564638754,3.660604406579411,11.299346392700489,1.5584636062289583,7.683272819026286,-2.8976093925418147,-6.135456434505413,-0.4341175217294463,40.00024163175297
alpaca_eval,default,switches,1,1,0,0,20,5.0,2.85,9.100000000000001,6.0,3.6500000000000004,6.300000000000001,1.85,3.9499999999999997,-2.15,-3.3000000000000003,-1.05,43.0
alpaca_eval,default,largest_drop_pp,1,1,0,0,20,6.94548329532619,4.011219838405505,21.842876927607634,15.527885724434082,3.4151512475725143,11.046439445585582,1.526392499133082,6.9921866458017154,-2.934263456920685,-6.2106949960618305,-0.4341175217294463,42.247073848629555
alpaca_eval,default,mean_drawdown_pp,1,1,0,0,20,0.11709199099121323,0.1104337299947907,0.35722999664628674,0.3352300919593728,0.06269397742975133,0.1792210688060922,0.05348896543532287,0.17369290223173406,-0.006658260996422541,-0.023971554507337702,0.011436260570205317,5.686350483973045
alpaca_eval,default,mean_regret_pp,1,0,0,1,20,0.3736243748484222,0.38004582675346893,0.48699617307373544,0.4888070950646821,0.17439111469338142,0.6657534879220881,0.17607695233664947,0.6807582048851695,0.00642145190504671,-0.006909959509370589,0.02174185799380954,-1.718691910197744
alpaca_eval,default,final_regret_pp,1,0,1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
alpaca_eval,default,downward_jumps,1,1,0,0,20,2.25,1.15,4.0,2.1000000000000014,1.65,2.85,0.6500000000000001,1.7,-1.1,-1.7,-0.55,48.88888888888889
alpaca_eval,default,jumps_ge_2pp,1,1,0,0,20,0.65,0.4,2.1000000000000014,2.0,0.25,1.1,0.1,0.75,-0.25,-0.5,-0.05,38.46153846153846
alpaca_eval,default,any_jump_ge_2pp,1,1,0,0,20,0.35,0.25,1.0,1.0,0.15000000000000002,0.55,0.1,0.45,-0.1,-0.25,0.0,28.57142857142857
alpaca_eval,dataset,total_downward_pp,1,1,0,0,20,0.17364700869177851,0.0,0.17364700869178099,0.0,0.0,0.4341175217294463,0.0,0.0,-0.17364700869177851,-0.4341175217294463,0.0,100.0
alpaca_eval,dataset,maximum_drawdown_pp,1,1,0,0,20,0.17364700869177851,0.0,0.17364700869178099,0.0,0.0,0.4341175217294463,0.0,0.0,-0.17364700869177851,-0.4341175217294463,0.0,100.0
alpaca_eval,dataset,switches,1,1,0,0,20,0.2,0.0,0.20000000000000284,0.0,0.0,0.5,0.0,0.0,-0.2,-0.5,0.0,100.0
alpaca_eval,dataset,largest_drop_pp,1,1,0,0,20,0.17364700869177851,0.0,0.17364700869178099,0.0,0.0,0.4341175217294463,0.0,0.0,-0.17364700869177851,-0.4341175217294463,0.0,100.0
alpaca_eval,dataset,mean_drawdown_pp,1,1,0,0,20,0.0008772938861313116,0.0,0.0005013107920750443,0.0,0.0,0.0023812262623564163,0.0,0.0,-0.0008772938861313116,-0.0023812262623564163,0.0,100.0
alpaca_eval,dataset,mean_regret_pp,1,1,0,0,20,0.0008772938861313116,0.0,0.0005013107920750443,0.0,0.0,0.0023812262623564163,0.0,0.0,-0.0008772938861313116,-0.0023812262623564163,0.0,100.0
alpaca_eval,dataset,final_regret_pp,1,0,1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
alpaca_eval,dataset,downward_jumps,1,1,0,0,20,0.1,0.0,0.10000000000000142,0.0,0.0,0.25,0.0,0.0,-0.1,-0.25,0.0,100.0
alpaca_eval,dataset,jumps_ge_2pp,1,0,1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
alpaca_eval,dataset,any_jump_ge_2pp,1,0,1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
mmlu_equal_subject,default,total_downward_pp,57,57,0,0,20,108.28711171112518,30.90692298564976,114.09197000523967,32.494828199670515,106.37309539990228,110.16586971805015,30.240791888182144,31.576290723863394,-77.38018872547539,-79.26110412507495,-75.47200373232357,71.45835501818593
mmlu_equal_subject,default,maximum_drawdown_pp,57,57,0,0,20,10.030196754854453,5.387871426566913,10.741361632122626,5.841611936920261,9.836605867751553,10.234435557780195,5.219738012786635,5.552505993148934,-4.642325328287542,-4.814304817936712,-4.468065289254297,46.28349215623043
mmlu_equal_subject,default,switches,57,57,0,0,20,158.00263157894733,55.6640350877193,163.7035087719298,59.85087719298245,155.6429605263158,160.2369298245614,54.27096491228071,57.05616228070176,-102.33859649122806,-103.52719298245611,-101.06135964912278,64.77018481815203
mmlu_equal_subject,default,largest_drop_pp,57,57,0,0,20,9.439099907412077,5.074706442434696,10.027939844539047,5.4984125811692595,9.254480860909371,9.632066655419719,4.906716004231682,5.244563245213954,-4.364393464977383,-4.561443184348567,-4.161829092802925,46.23739029979151
mmlu_equal_subject,default,mean_drawdown_pp,57,56,0,1,20,0.7536834250714564,0.5870292966961709,0.8371672590603926,0.6523686942640595,0.7272107842881022,0.779894630968288,0.564293771982606,0.6091406374067797,-0.1666541283752855,-0.19012669854889122,-0.14251609977163004,22.111953484911133
mmlu_equal_subject,default,mean_regret_pp,57,46,0,11,20,1.8284567023080842,1.773886935996075,1.9655281834713048,1.9056423761471597,1.7658019595733796,1.8969504863729543,1.7104220751648058,1.8423587498408813,-0.05456976631200985,-0.07138512509532043,-0.03723742001664779,2.9844713436815407
mmlu_equal_subject,default,final_regret_pp,57,12,35,10,20,0.82771290046661,0.8258330981592934,0.9976546223650808,0.9976659727959469,0.770152948651365,0.8851484000360974,0.7697524165338369,0.8813869095585096,-0.0018798023073165692,-0.027884572948679014,0.026955159925109867,0.22710801127502525
mmlu_equal_subject,default,downward_jumps,57,57,0,0,20,69.45,23.02017543859649,72.37894736842105,24.417543859649122,68.46401315789473,70.37282894736842,22.450833333333332,23.608771929824556,-46.4298245614035,-46.96756578947369,-45.85526315789473,66.85359908049462
mmlu_equal_subject,default,jumps_ge_2pp,57,56,1,0,20,12.740350877192984,3.424561403508773,13.598245614035083,3.833333333333334,12.407017543859649,13.068442982456139,3.2973684210526324,3.552631578947369,-9.315789473684209,-9.599999999999998,-9.024539473684209,73.12035251996696
mmlu_equal_subject,default,any_jump_ge_2pp,57,45,12,0,20,0.9157894736842118,0.6824561403508778,0.947368421052633,0.7210526315789481,0.9052631578947381,0.9263157894736855,0.6666666666666672,0.6982456140350883,-0.23333333333333406,-0.24912280701754463,-0.21929824561403577,25.47892720306518
mmlu_equal_subject,dataset,total_downward_pp,57,57,0,0,20,93.57483047900018,22.004212317749875,97.21864425635053,23.819506502143362,92.29403385395644,94.81038260265726,21.505471924904654,22.516046387103213,-71.57061816125031,-72.54412421542645,-70.51332639887991,76.48490282577856
mmlu_equal_subject,dataset,maximum_drawdown_pp,57,57,0,0,20,8.316043167483919,3.3635877638015166,8.931664578052086,3.7043870574777142,8.100803379605988,8.531968325260182,3.24256042364347,3.4814445261505416,-4.9524554036824044,-5.214125581059383,-4.696749323572007,59.55302664910053
mmlu_equal_subject,dataset,switches,57,57,0,0,20,130.7052631578947,45.39122807017544,136.10701754385966,48.184210526315795,128.8175,132.45969298245612,44.113157894736844,46.59826754385964,-85.31403508771929,-86.38690789473681,-84.18508771929825,65.27207323293334
mmlu_equal_subject,dataset,largest_drop_pp,57,57,0,0,20,7.960721423447973,3.2010681319295697,8.506704002624588,3.576883807862497,7.738952462598722,8.18752469860167,3.0831813089871507,3.316457625516484,-4.759653291518402,-5.040052381447236,-4.491344123179483,59.789220578665685
mmlu_equal_subject,dataset,mean_drawdown_pp,57,57,0,0,20,0.3966736039986146,0.26286802240365836,0.46474640032622083,0.3399157484939757,0.37216525222362085,0.4211814716984388,0.24139928297169078,0.2855950688594402,-0.13380558159495626,-0.14807415911724384,-0.12074971810631824,33.73190962195296
mmlu_equal_subject,dataset,mean_regret_pp,57,52,0,5,20,0.9989768043927603,0.954025922005501,1.1032519661575797,1.0410809421822684,0.9588227394276038,1.037208808286379,0.9223853309014881,0.9853100466339353,-0.04495088238725925,-0.06032595321894156,-0.029425549221662003,4.499692304125442
mmlu_equal_subject,dataset,final_regret_pp,57,12,44,1,20,0.4361026407100235,0.4003554928187718,0.5279180621825851,0.49022546505264314,0.3939391178943018,0.4770691175473783,0.36330253166655774,0.438751339365789,-0.035747147891251614,-0.056004115238697326,-0.016493118129925453,8.196957448606913
mmlu_equal_subject,dataset,downward_jumps,57,57,0,0,20,56.88947368421052,17.916666666666664,59.02280701754386,19.080701754385966,56.1719298245614,57.58245614035087,17.42894736842105,18.395614035087718,-38.972807017543865,-39.44565789473684,-38.48331140350877,68.50618311900577
mmlu_equal_subject,dataset,jumps_ge_2pp,57,56,1,0,20,12.434210526315788,2.654385964912281,13.13333333333333,3.0403508771929832,12.142960526315788,12.711403508771928,2.519298245614036,2.7885964912280707,-9.779824561403505,-10.014035087719295,-9.543859649122805,78.65255731922399
mmlu_equal_subject,dataset,any_jump_ge_2pp,57,47,10,0,20,0.8824561403508785,0.586842105263158,0.8964912280701767,0.6666666666666672,0.8745614035087731,0.8903508771929837,0.5649122807017546,0.6087719298245617,-0.29561403508772016,-0.3192982456140361,-0.2692982456140359,33.499005964214795
mmlu_question_weighted,default,total_downward_pp,57,57,0,0,20,165.79653895456482,39.673835635949274,181.559606893605,44.903147699757795,161.18568401937046,170.35341297535953,38.054034325594635,41.3620299814841,-126.1227033186155,-130.3505910838911,-122.02098169776382,76.07076969995039
mmlu_question_weighted,default,maximum_drawdown_pp,57,57,0,0,20,9.683449651046859,4.204529269334853,10.655177325167354,4.732231875801167,9.394673123486683,9.983273394103405,4.035749893177611,4.370103973792907,-5.4789203817120065,-5.731733371314627,-5.215781227745335,56.58025372311085
mmlu_question_weighted,default,switches,57,57,0,0,20,277.6754237288135,93.22614656031902,297.62381427147136,106.49242985329725,271.6208602763139,283.94451235578975,89.17205820039881,97.62222653468169,-184.4492771684945,-188.87386145136023,-180.24906726249824,66.42621615250812
mmlu_question_weighted,default,largest_drop_pp,57,57,0,0,20,9.248682523857001,3.9923087879219485,10.203674690215069,4.573422589374732,8.9638228172625,9.534610454351233,3.829217704030765,4.150788705312633,-5.256373735935052,-5.5252189858994445,-4.971852300242131,56.83375683375684
mmlu_question_weighted,default,mean_drawdown_pp,57,56,0,1,20,0.4994400837785939,0.36442828327487103,0.5521230975729806,0.40085172404548286,0.48398243318288287,0.5151611446464676,0.3516130514754779,0.37764539661703,-0.13501180050372283,-0.14644583011313791,-0.12331459126740071,27.032632119206266
mmlu_question_weighted,default,mean_regret_pp,57,46,0,11,20,1.152933468907131,1.0997085291760607,1.2368359880234887,1.1776068057026998,1.1238558467284474,1.1843527369790137,1.0701875381844992,1.1309958722887667,-0.053224939731070675,-0.0622733441010453,-0.04388805301647384,4.61647971599979
mmlu_question_weighted,default,final_regret_pp,57,12,35,10,20,0.41981199259364754,0.41625124626121623,0.4992166358068649,0.5063381284717274,0.3916731947016093,0.44937508901865814,0.3884774248682522,0.44544936618715264,-0.003560746332431269,-0.015667283862697626,0.009257940464321327,0.8481764206955121
mmlu_question_weighted,default,downward_jumps,57,57,0,0,20,128.30993804301383,41.25706095997721,139.18621279020084,48.75450790485685,125.2345731555334,131.46958766557472,39.24053277666999,43.43103973792907,-87.05287708303662,-89.36359421734798,-84.86643854151832,67.8457790649494
mmlu_question_weighted,default,jumps_ge_2pp,57,56,1,0,20,15.998194701609455,2.964449508617006,18.608880501353077,3.479112662013958,15.119488676826661,16.865009970089726,2.78122311636519,3.154675259934482,-13.03374519299245,-13.810738053696056,-12.256090567582966,81.47009982120811
mmlu_question_weighted,default,any_jump_ge_2pp,57,45,12,0,20,0.903300811850164,0.589901723401225,0.934574846887908,0.6799387551630822,0.8896377830793336,0.9164691639367614,0.5602151580971372,0.6182809606893606,-0.31339908844893893,-0.3407670737786641,-0.28718122418458913,34.69487510002641
mmlu_question_weighted,dataset,total_downward_pp,57,57,0,0,20,116.9580544082039,25.890542657741054,124.30707876370869,29.324882495371074,114.3156156530409,119.89748611308923,24.682354721549622,27.077045648767974,-91.06751175046287,-93.66294865403783,-88.80607285286992,77.86339488225534
mmlu_question_weighted,dataset,maximum_drawdown_pp,57,57,0,0,20,7.475430850306227,2.5779803446802445,8.337843612021079,2.8984475145990585,7.121483762996723,7.8112181313203255,2.4918102834354077,2.666642928357783,-4.897450505625981,-5.2239709443099285,-4.557034254379719,65.51395636848625
mmlu_question_weighted,dataset,switches,57,57,0,0,20,199.7983086454921,65.41907491810284,219.553973792907,79.04567725395243,192.54560835351091,206.94755643782938,61.02365546218487,69.93421814912405,-134.37923372738928,-139.0764577695485,-130.04093389474434,67.25744308768009
mmlu_question_weighted,dataset,largest_drop_pp,57,57,0,0,20,7.256444950861699,2.4793476712718974,8.040877367896313,2.8023073636234144,6.910687580116793,7.585110739210939,2.392821535393818,2.568010254949437,-4.777097279589802,-5.099700897308077,-4.43633385557613,65.83247460621229
mmlu_question_weighted,dataset,mean_drawdown_pp,57,57,0,0,20,0.2359815478358291,0.14558038928903444,0.2632314368665038,0.17114556301741868,0.2235506032967891,0.2479283040742271,0.13483418424905838,0.156504402541071,-0.09040115854679469,-0.09774746099754529,-0.08348206228131486,38.30857089287599
mmlu_question_weighted,dataset,mean_regret_pp,57,52,0,5,20,0.6357129493407709,0.5979070116014282,0.6987765931047116,0.6454387641344745,0.6114062066685714,0.6582514015918939,0.5777455638777497,0.6170157231916479,-0.037805937739342724,-0.04617438831932929,-0.029668664929342826,5.947013943722109
mmlu_question_weighted,dataset,final_regret_pp,57,12,44,1,20,0.23287281014100553,0.21186440677966098,0.2991026919242273,0.2563737359350521,0.21044010824668846,0.2542372881355932,0.19192422731804593,0.23038028770830368,-0.02100840336134454,-0.032046716991881496,-0.010673337131462866,9.02140672782875
mmlu_question_weighted,dataset,downward_jumps,57,57,0,0,20,91.83767625694347,28.078243839908843,99.75789773536536,35.00126050420169,88.5737130572568,95.08955214713005,26.063175206523287,30.18861994374021,-63.75943241703461,-66.0265052164934,-61.674032278165505,69.42622572314272
